Investigation Brilliant Engineer,This dark whodunit noir follows the deep investigation of a brilliant radio engineer's mysterious murder where every single clue leads toward a very dangerous and highly unexpected political conspiracy right now.
Brothers brutal poverty,This is the story of three brothers whose fragile lives are torn apart by the brutal realities of war and extreme poverty while they struggle to find their lost home.
Kingdom love dance,Two brothers fight for their father's ancient kingdom and the beautiful love of a talented dancer while the entire world around them collapses into a very dark and bloody war.
Brave Loyal People,A brave chieftain rebels against the powerful British East India Company to save his loyal people from the cruel taxes and systemic oppression that are currently destroying their very traditional way.
Artistic Ego events,A fierce competition of artistic skill and fragile ego between a famous musician and a graceful dancer leads to a series of events that will change their professional lives forever.
denied tragic rightful,"This is a brilliant retelling of the great Mahabharata from the personal perspective of the tragic hero Karna, who was always denied his true rightful place among the noble royal brothers."
educated spiritual addiction,A Western-educated man ruins his promising life through addiction and vice and eventually finds a sense of spiritual redemption far too late to save his broken family from total ruin.
struggle painful rejecton,A man with a deeply scarred face struggles with the painful rejection from his own father while searching for a way to find true love in a very judgmental world.
existence legendery verses,The life story of the legendary Tamil poetess and her spiritual devotion shows how she dedicated her entire existence to the gods while writing beautiful verses that still inspire people today.
heroic monopoly Independence,The biography of V.O. Chidambaram Pillai and his indigenous shipping service chronicles his heroic struggle against the British monopoly on the high seas during the early days of the Indian independence.
common don poor,A common man becomes a powerful underworld don to protect his poor people from the exploitation of the rich while facing the constant threat of being killed by his many enemies.
changes violent boss,A proud winch-operator’s life changes forever after a violent clash with his new boss which leads to a massive strike that affects the entire community and their future financial security.
teacher past women,A kind schoolteacher rescues a beautiful woman with retrograde amnesia from a dark brothel and helps her remember her lost past while protecting her from the dangerous men who seek her.
shattered fight giveup,"A villager’s life is completely shattered by misfortune, leading him to the absolute depths of despair where he must decide whether to fight for his survival or just give up."
orphan slum kingpin,An orphan raised in a crowded slum becomes a local kingpin's right-hand man and must navigate the dangerous world of crime while trying to protect the only family he has.
trip bond friendship,Two men with opposing ideologies bond during an unexpected road trip across the country where they learn that their differences are not as great as the friendship they have formed.
adopted travels mother,An adopted girl travels to war-torn Sri Lanka to find her biological mother and discovers the harsh truth about her heritage and the sacrifices made during the long civil war.
father progress ancient,An educated son reluctantly takes over his father's role as a village leader and finds himself caught between modern progress and the ancient traditions that his people still hold dear.
