Player,Runs,Innings,Boundaries,Sixers,StrikeRate,BallsFaced,CenturyInd,
Tendulkar,200,1,25,3,136.05,147,1,1
Tendulkar,175,1,19,4,124.11,141,1,1
Tendulkar,163,1,16,5,122.55,133,1,1
Tendulkar,152,1,18,0,100.66,151,1,1
Tendulkar,146,1,17,0,110.6,132,1,1
Tendulkar,141,1,13,5,95.27,148,1,1
Tendulkar,141,1,17,1,104.44,135,1,1
Tendulkar,139,1,19,0,111.2,125,1,1
Tendulkar,138,1,10,1,103.75,133,1,1
Tendulkar,123,1,12,2,94.61,130,1,1
Tendulkar,122,1,12,1,93.12,131,1,1
Tendulkar,120,1,10,5,104.34,115,1,1
Tendulkar,117,1,10,0,97.5,120,1,1
Tendulkar,114,1,12,1,77.55,147,1,1
Tendulkar,113,1,12,1,110.78,102,1,1
Tendulkar,111,1,8,3,109.9,101,1,1
Tendulkar,105,1,8,1,97.22,108,1,1
Tendulkar,102,1,12,1,112.08,91,1,1
Tendulkar,101,1,9,0,78.29,129,1,1
Tendulkar,100,1,10,1,131.57,76,1,0
Tendulkar,100,1,9,1,84.03,119,1,1
Tendulkar,100,1,10,1,88.49,113,1,1
Tendulkar,99,1,12,0,69.23,143,0,0
Tendulkar,99,1,15,1,88.39,112,0,1
Tendulkar,99,1,14,1,108.79,91,0,0
Tendulkar,98,1,12,1,130.66,75,0,0
Tendulkar,97,1,7,1,80.83,120,0,0
Tendulkar,97,1,16,0,95.09,102,0,1
Tendulkar,96,1,13,0,92.3,104,0,0
Tendulkar,95,1,16,1,91.34,104,0,0
Tendulkar,94,1,16,1,116.04,81,0,0
Tendulkar,93,1,9,2,96.87,96,0,0
Tendulkar,93,1,13,2,87.73,106,0,0
Tendulkar,91,1,7,0,75.2,121,0,0
Tendulkar,89,1,12,1,97.8,91,0,0
Tendulkar,87,1,13,1,129.85,67,0,0
Tendulkar,86,1,8,0,90.52,95,0,0
Tendulkar,85,1,11,0,73.91,115,0,0
Tendulkar,83,1,5,1,82.17,101,0,0
Tendulkar,82,1,10,1,65.07,126,0,0
